variant,l1i_size,l1d_size,l2_size,l1_assoc,l2_assoc,sim_ticks,ipc,cpi,l1d_miss_rate,l1i_miss_rate,l2_miss_rate,l1d_hit_rate,l1i_hit_rate,l2_hit_rate,l1d_misses,l2_misses
chunked,32KiB,32KiB,256KiB,4,8,4367719107000,0.266167,3.75704,0.020317,0.0,0.682665,0.979683343421013,0.9999997210171584,0.3173347925461744,6249497,4266620
chunked,32KiB,32KiB,512KiB,16,4,4304831776000,0.270055,3.702945,0.020486,0.0,0.569343,0.9795138986202219,0.9999997222795242,0.43065709414295156,6301619,3588036
chunked,32KiB,32KiB,1MB,16,8,4244145802000,0.273917,3.650744,0.020486,0.0,0.467341,0.9795138986202219,0.9999997222795242,0.5326585809571942,6301619,2945216
chunked,32KiB,128KiB,1MB,16,4,4198947709000,0.276865,3.611866,0.016055,0.0,0.593296,0.983944596355011,0.9999997222795242,0.40670401173316445,4938716,2930385
chunked,32KiB,128KiB,256KiB,16,8,4323041789000,0.268918,3.718609,0.016055,0.0,0.863474,0.983944596355011,0.9999997222795242,0.13652558875371976,4938716,4264840
chunked,32KiB,64KiB,256KiB,16,8,4346461305000,0.267469,3.738754,0.018237,0.0,0.760397,0.9817634488618293,0.9999997222795242,0.2396026233433207,5609647,4265900
chunked,32KiB,32KiB,1MB,8,8,4243585712000,0.273953,3.650262,0.020408,0.0,0.469141,0.9795924962747388,0.9999997222795242,0.5308587856298169,6277442,2945216
chunked,32KiB,32KiB,256KiB,8,8,4368301417000,0.266132,3.757541,0.020408,0.0,0.679626,0.9795924962747388,0.9999997222795242,0.3203736670676508,6277442,4266618
chunked,32KiB,128KiB,512KiB,8,16,4262203255000,0.272756,3.666277,0.01603,0.0,0.733015,0.9839704412221744,0.9999997222795242,0.26698487106212426,4930766,3614653
chunked,32KiB,128KiB,1MB,4,16,4200978286000,0.276731,3.613612,0.015978,0.0,0.601309,0.9840224365436097,0.9999997210171584,0.39869120812496694,4914772,2955565
